Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Full-Time Equivalent (FTE) Teachers [District] 2009-10,Full-Time Equivalent (FTE) Teachers [Public School] 2009-10,Pupil/Teacher Ratio [District] 2009-10,Pupil/Teacher Ratio [Public School] 2009-10,Prekindergarten Teachers [District] 2009-10,Kindergarten Teachers [District] 2009-10,Elementary Teachers [District] 2009-10,Secondary Teachers [District] 2009-10,Ungraded Teachers [District] 2009-10,Total Staff [District] 2009-10,Instructional Aides [District] 2009-10,Instructional Coordinators [District] 2009-10,Elementary Guidance Counselors [District] 2009-10,Secondary Guidance Counselors [District] 2009-10,Other Guidance Counselors [District] 2009-10,Total Guidance Counselors [District] 2009-10,Librarians/Media Specialists [District] 2009-10,Library Media Support Staff [District] 2009-10,LEA Administrators [District] 2009-10,LEA Administrative Support Staff [District] 2009-10,School Administrators [District] 2009-10,School Administrative Support Staff [District] 2009-10,Student Support Services Staff [District] 2009-10,Other Support Services Staff [District] 2009-10
HALDANE CENTRAL SCHOOL DISTRICT,New York,3613230,71.52,60.41,12.61,14.93,0,3.91,25.80,30.98,10.83,145.02,21.90,0,2.00,2.00,†,4.00,0,0,2.70,10.00,3.00,1.50,2.50,27.90
HALE AREA SCHOOLS,Michigan,2617370,37.84,37.84,17.79,17.57,0,3.00,14.83,16.01,4.00,74.88,7.00,="0.11",0,0,†,0,1.00,0,5.59,1.00,2.00,3.02,="0.86",16.46
HALE CENTER ISD,Texas,4822050,56.72,†,11.07,11.07,3.00,3.20,21.99,24.20,4.33,103.52,13.00,1.29,–,–,3.00,3.00,1.00,0,1.00,4.00,3.00,3.00,0,17.51
HALE COUNTY,Alabama,="0101710",183.85,183.85,15.99,15.99,4.00,16.00,82.00,81.85,†,326.33,–,–,4.00,5.00,†,9.00,8.00,2.28,4.68,6.90,12.75,9.33,9.75,79.79
HALE R-I,Missouri,2913500,18.66,18.24,9.27,9.48,="0.47",1.08,8.36,8.75,†,30.40,1.50,0,="0.33",="0.50",†,="0.83",1.00,0,="0.75",2.00,="0.66",0,0,5.00
HALE'S LOCATION,New Hampshire,3303272,0,†,†,†,0,0,0,0,†,–,0,–,0,0,†,0,0,0,0,0,0,0,–,0
HALE'S LOCATION DISTRICT,New Hampshire,3303279,0,†,†,†,0,0,0,0,†,–,0,–,0,0,†,0,0,0,0,0,0,0,–,0
HALEDON PUBLIC SCHOOL DISTRICT,New Jersey,3406450,82.00,75.00,12.90,14.11,3.00,5.00,48.00,19.00,7.00,140.00,18.00,0,2.00,0,†,2.00,1.00,–,0,0,3.00,7.00,9.00,18.00
HALEYVILLE CITY,Alabama,="0101720",115.74,115.24,14.35,14.41,6.00,10.00,47.87,51.87,†,180.87,–,–,1.00,4.00,†,5.00,3.00,2.00,3.00,5.00,7.00,6.00,6.13,28.00
HALF HOLLOW HILLS CENTRAL SCHOOL DISTRICT,New York,3613290,771.54,701.88,13.01,14.30,0,44.43,291.44,313.27,122.40,1626.09,216.00,1.65,0,28.00,†,28.00,11.11,11.00,12.00,95.00,30.50,15.25,36.04,398.00
HALFWAY R-III,Missouri,2913530,25.89,26.00,11.28,11.23,1.00,2.50,10.83,11.56,†,47.54,6.28,="0.20",="0.50",="0.40",†,="0.90",="0.22",0,1.00,2.00,1.85,0,3.20,6.00
HALIFAX,Massachusetts,2505610,44.00,44.00,14.86,14.86,0,4.00,40.00,0,†,74.91,20.36,0,0,0,†,0,1.00,0,="0.91",1.45,2.00,1.00,4.19,0
HALIFAX AREA SD,Pennsylvania,4211310,96.82,96.82,12.10,12.10,1.00,5.00,32.18,48.14,10.50,191.00,31.00,1.18,1.00,2.00,†,3.00,3.00,2.00,2.00,6.00,5.00,8.50,1.00,31.50
HALIFAX CO PBLC SCHS,Virginia,5101770,379.08,379.08,15.83,15.83,23.00,22.00,126.00,208.08,†,1363.91,174.00,122.00,6.00,7.50,15.00,28.50,10.00,10.00,9.00,25.00,21.00,44.00,76.00,465.33
HALIFAX COUNTY SCHOOLS,North Carolina,3701950,264.57,263.57,15.87,15.93,1.00,0,108.33,154.24,1.00,595.14,75.96,9.16,6.00,7.00,†,13.00,7.00,0,6.24,17.94,19.75,21.53,35.84,124.15
HALIFAX SCHOOL DISTRICT,Vermont,5004500,6.30,6.30,10.00,9.21,0,="0.70",4.20,1.40,0,13.08,2.00,0,0,0,†,0,="0.28",0,0,0,="0.50",1.00,0,3.00
HALIWA-SAPONI TRIBAL SCHOOL,North Carolina,3700115,15.00,15.00,9.73,9.73,0,1.00,8.00,3.00,3.00,21.00,3.00,0,0,0,†,0,0,0,0,0,2.00,1.00,0,0
HALL COUNTY,Georgia,1302610,1740.00,1740.40,14.81,14.81,4.10,116.10,964.40,655.40,0,3222.60,297.90,41.70,20.00,25.50,†,45.50,34.30,32.80,14.50,13.80,87.10,103.60,109.90,701.50
HALL ELEM,Montana,3013200,2.00,2.00,7.00,7.00,–,–,2.00,0,†,2.04,0,0,="0.02",0,†,="0.02",="0.02",–,0,–,0,–,0,–
HALL HSD 502,Illinois,1718030,27.50,25.50,14.58,15.29,0,0,0,27.50,0,34.50,–,0,0,3.00,†,3.00,1.00,–,1.00,–,1.00,–,1.00,–
HALLETTSVILLE ISD,Texas,4822120,76.40,†,11.35,11.35,="0.66",4.87,28.89,39.30,2.68,153.95,22.66,1.46,–,–,2.96,2.96,1.91,0,1.00,4.76,4.00,4.00,0,34.80
HALLIDAY 19,North Dakota,3808610,7.38,7.38,3.66,3.66,0,="0.63",2.55,4.20,†,15.64,1.60,="0.07",–,–,1.00,1.00,="0.10",0,1.40,="0.50",="0.34",0,0,3.25
HALLSBURG ISD,Texas,4822140,9.69,†,10.22,10.23,0,1.14,7.31,0,1.24,20.14,3.00,0,–,–,="0.50",="0.50",0,0,="0.50",="0.50",="0.50",1.50,0,3.95
HALLSVILLE ISD,Texas,4822170,334.97,331.97,12.73,12.85,4.44,19.50,140.43,143.02,27.58,705.67,73.64,8.00,–,–,8.50,8.50,4.00,2.00,4.00,22.00,23.50,27.49,26.83,170.74
HALLSVILLE R-IV,Missouri,2913560,89.79,93.00,14.87,14.35,1.44,5.45,33.86,49.04,†,177.33,19.54,3.84,2.00,2.50,†,4.50,3.66,1.00,2.00,9.00,4.00,0,5.00,35.00
HALSTEAD,Kansas,2006840,60.60,56.80,13.40,14.28,1.00,3.00,19.40,37.20,0,104.00,5.60,0,0,2.00,†,2.00,1.00,="0.70",1.00,2.30,4.00,5.30,4.10,17.40
HAMBLEN COUNTY,Tennessee,4700001,644.82,640.84,15.57,15.67,10.00,46.35,396.90,176.50,15.07,1197.82,177.00,6.00,13.50,5.00,†,18.50,19.00,0,1.00,4.00,31.50,28.00,6.00,262.00
HAMBURG AREA SD,Pennsylvania,4211340,176.50,175.50,14.16,14.24,0,8.00,80.00,83.50,5.00,303.50,31.00,4.00,3.00,4.00,†,7.00,4.00,3.00,3.00,10.00,6.00,11.00,5.00,43.00
HAMBURG CENTRAL SCHOOL DISTRICT,New York,3613350,343.93,326.41,11.69,12.31,4.64,20.31,127.89,135.99,55.10,654.27,114.60,3.00,3.49,7.75,†,11.24,5.40,3.00,5.00,43.40,10.00,6.60,15.00,93.10
HAMBURG COMM SCHOOL DISTRICT,Iowa,1913440,26.73,25.73,10.89,11.19,3.00,1.35,9.38,13.00,†,56.33,10.00,0,0,0,†,0,0,1.00,2.00,0,2.00,2.50,0,12.10
HAMBURG SCHOOL DISTRICT,Arkansas,="0500042",167.00,167.00,12.54,12.54,7.00,16.00,72.00,66.00,6.00,337.00,49.00,7.00,3.00,3.00,†,6.00,5.00,0,5.00,8.00,7.00,18.00,28.00,37.00
HAMBURG SCHOOL DISTRICT,New Jersey,3406480,29.00,27.00,10.00,10.67,1.00,1.00,20.00,5.00,2.00,59.00,11.00,0,1.00,0,†,1.00,1.00,–,1.00,1.00,1.00,5.00,5.00,4.00
HAMDEN SCHOOL DISTRICT,Connecticut,="0901860",474.60,451.80,12.52,13.15,1.00,18.00,281.00,160.30,14.30,1034.45,132.75,56.10,1.60,7.20,†,8.80,11.00,2.00,12.20,30.00,18.00,12.00,31.00,246.00
HAMILTON,Florida,1200720,130.00,†,14.02,16.13,2.00,9.00,49.00,39.00,31.00,294.00,36.00,2.00,2.00,2.00,†,4.00,3.00,1.00,8.00,24.00,7.00,10.00,10.00,59.00
HAMILTON,Kansas,2006870,17.00,15.30,6.00,6.67,1.00,1.00,5.30,9.00,="0.70",37.10,7.00,0,0,="0.50",†,="0.50",0,="0.60",="0.50",1.20,="0.50",="0.60",2.40,6.80
HAMILTON ALTERNATIVE ACADEMY,Ohio,3900135,3.52,3.52,37.50,37.50,0,0,="0.12",3.40,0,3.52,0,0,–,–,†,–,0,0,0,0,0,0,0,0
HAMILTON CCSD 328,Illinois,1718060,44.11,44.11,14.83,14.83,2.00,2.00,24.00,16.11,0,48.11,–,0,0,0,1.00,1.00,0,–,1.00,–,2.00,–,0,–
HAMILTON CENTRAL SCHOOL DISTRICT,New York,3613380,56.20,58.21,10.85,10.48,1.55,3.75,22.66,23.84,4.40,98.06,1.70,1.00,1.50,1.50,†,3.00,="0.66",0,2.00,5.00,2.00,1.00,3.00,22.50
HAMILTON CITY,Ohio,3904410,491.62,446.61,19.59,21.56,8.00,42.61,230.03,204.84,6.14,1142.56,95.00,8.00,–,–,14.00,14.00,3.00,9.00,5.00,51.40,23.60,59.00,146.81,236.13
HAMILTON CNTY MATH & SCIENCE,Ohio,3900121,20.00,20.00,23.70,23.70,0,3.00,14.00,3.00,0,31.55,7.00,0,–,–,†,–,1.00,0,0,2.25,0,0,1.30,0
HAMILTON CO CUSD 10,Illinois,1710790,83.50,83.50,15.53,15.40,5.00,4.00,46.00,28.50,0,95.50,–,0,0,0,†,0,1.00,–,2.00,–,6.00,–,3.00,–
HAMILTON COMMUNITY SCHOOLS,Indiana,1804230,37.00,35.37,13.86,14.50,0,2.00,16.00,19.00,0,79.00,8.00,2.00,0,1.00,†,1.00,1.00,1.00,2.00,1.00,2.00,3.00,0,21.00
HAMILTON COMMUNITY SCHOOLS,Michigan,2617400,142.73,142.73,18.30,18.11,0,6.26,50.95,69.62,15.90,299.55,33.35,1.00,1.00,2.50,†,3.50,1.00,0,2.75,1.00,8.25,16.75,7.00,82.22
HAMILTON COUNTY,Tennessee,4701590,2876.29,2791.60,14.54,14.98,51.00,161.16,1758.58,838.45,67.10,4965.36,396.00,13.00,30.50,46.74,66.40,143.64,75.48,0,7.00,26.00,147.95,300.50,37.00,942.50
HAMILTON COUNTY ESC,Ohio,3904732,24.80,†,0,†,11.00,1.00,1.72,6.33,4.75,456.10,57.50,0,–,–,7.20,7.20,0,0,2.00,109.70,0,0,198.20,56.70
HAMILTON HEIGHTS SCHOOL CORP,Indiana,1804260,117.00,118.93,19.64,19.32,1.00,8.00,53.00,55.00,0,270.00,36.00,5.00,3.00,3.00,†,6.00,3.00,2.00,3.00,3.00,7.00,12.00,1.00,75.00
HAMILTON ISD,Texas,4822230,66.01,66.00,12.83,12.83,2.00,5.57,27.19,25.79,5.46,119.64,13.75,0,–,–,2.00,2.00,1.00,0,1.00,5.00,4.00,3.00,1.00,22.88
HAMILTON K-12 SCHOOLS,Montana,3013260,105.95,105.96,14.84,14.84,–,–,72.43,33.52,†,172.45,47.50,2.00,3.00,1.50,†,4.50,4.00,–,1.00,–,6.50,–,1.00,–
HAMILTON LOCAL,Ohio,3904695,159.15,158.15,19.75,19.88,5.00,13.30,72.85,68.00,0,292.15,="0.50",0,–,–,4.00,4.00,2.00,2.00,3.00,11.00,8.00,19.00,15.00,68.50
HAMILTON R-II,Missouri,2913590,61.16,61.15,12.07,12.07,="0.33",3.20,23.31,34.32,†,96.99,6.05,="0.50",1.00,1.75,†,2.75,="0.60",1.05,1.50,7.00,3.00,2.38,2.00,9.00
HAMILTON SCHOOL DISTRICT,Wisconsin,5506030,280.45,280.45,16.17,16.17,8.50,19.50,107.90,144.55,0,463.63,39.69,2.15,3.10,6.00,="0.40",9.50,6.00,="0.88",4.00,11.75,9.85,14.88,15.36,69.12
HAMILTON SCHOOL DISTRICT - PACE CHARTER SCHOOL OF HAMILTON,New Jersey,3400042,11.00,10.00,10.55,11.60,0,3.00,7.00,0,1.00,17.00,2.00,0,0,0,†,0,0,–,1.00,0,1.00,1.00,0,1.00
HAMILTON SOUTHEASTERN SCHOOLS,Indiana,1810650,885.00,891.95,20.27,20.11,17.00,36.00,461.00,371.00,0,1967.00,239.00,13.00,16.00,22.00,†,38.00,20.00,6.00,7.00,6.00,34.00,102.00,4.00,613.00
