Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Full-Time Equivalent (FTE) Teachers [District] 2009-10,Full-Time Equivalent (FTE) Teachers [Public School] 2009-10,Pupil/Teacher Ratio [District] 2009-10,Pupil/Teacher Ratio [Public School] 2009-10,Prekindergarten Teachers [District] 2009-10,Kindergarten Teachers [District] 2009-10,Elementary Teachers [District] 2009-10,Secondary Teachers [District] 2009-10,Ungraded Teachers [District] 2009-10,Total Staff [District] 2009-10,Instructional Aides [District] 2009-10,Instructional Coordinators [District] 2009-10,Elementary Guidance Counselors [District] 2009-10,Secondary Guidance Counselors [District] 2009-10,Other Guidance Counselors [District] 2009-10,Total Guidance Counselors [District] 2009-10,Librarians/Media Specialists [District] 2009-10,Library Media Support Staff [District] 2009-10,LEA Administrators [District] 2009-10,LEA Administrative Support Staff [District] 2009-10,School Administrators [District] 2009-10,School Administrative Support Staff [District] 2009-10,Student Support Services Staff [District] 2009-10,Other Support Services Staff [District] 2009-10
21ST CENTURY CHARTER SCH OF GARY,Indiana,1800046,23.00,21.00,15.65,17.14,0,2.00,9.00,10.00,2.00,41.00,11.00,0,0,0,†,0,0,0,0,0,1.00,2.00,0,4.00
21ST CENTURY CYBER CS,Pennsylvania,4200091,20.85,20.85,28.49,28.49,0,0,0,19.85,1.00,32.85,3.00,0,0,2.00,†,2.00,0,0,3.00,3.00,0,0,0,1.00
21ST CENTURY PREPARATORY SCHOOL AGENCY,Wisconsin,5500045,30.50,30.50,16.62,16.62,2.00,3.00,19.00,6.50,0,43.50,4.00,0,0,0,†,0,0,0,2.00,0,1.00,3.00,="0.50",2.50
4-WINDS ACADEMY  INCORPORATED DBA 4-WINDS ACADEMY,Arizona,="0400380",†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
A CENTER FOR CREATIVE EDUCATION,Arizona,="0400328",0,†,†,†,0,0,0,0,†,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
A CHILD'S VIEW SCHOOL  INC.,Arizona,="0400431",2.00,†,29.00,†,0,0,2.00,0,†,4.25,1.00,0,0,0,†,0,0,0,="0.50",0,="0.50",0,0,="0.25"
A E R O  SPEC EDUC COOP,Illinois,1700024,73.40,34.90,0,6.05,7.00,4.00,33.40,29.00,0,136.59,–,6.00,0,0,†,0,0,–,3.00,–,1.00,–,53.19,–
A W BEATTIE CAREER CENTER,Pennsylvania,4280010,31.50,31.50,0,0,0,0,0,28.50,3.00,76.00,11.00,1.00,0,1.00,†,1.00,0,0,2.00,0,3.00,7.00,8.00,11.50
A W BROWN-FELLOWSHIP LEADERSHIP ACADEMY,Texas,4800095,61.00,61.00,22.16,22.16,12.00,3.79,38.07,0,7.14,129.00,15.00,0,–,–,†,–,0,0,1.00,8.00,3.00,4.00,2.00,35.00
A+ ACADEMY,Texas,4800203,62.21,62.21,16.61,16.61,0,1.14,17.98,33.30,9.79,173.53,30.68,4.06,–,–,†,–,1.00,0,11.00,19.00,6.20,5.00,15.87,18.51
A+ ARTS ACADEMY,Ohio,3900305,12.00,12.00,12.83,12.83,0,0,4.35,7.65,0,26.00,3.00,0,–,–,†,–,0,0,1.00,5.00,0,0,1.00,4.00
A-C CENTRAL CUSD 262,Illinois,1700105,36.75,35.75,11.86,12.08,0,2.00,18.00,16.75,0,41.42,–,0,0,0,†,0,1.00,–,1.00,–,2.67,–,0,–
A-H-S-T COMM SCHOOL DISTRICT,Iowa,1904080,44.50,44.50,15.64,13.37,2.50,2.55,18.60,20.85,†,82.50,9.40,1.00,1.00,1.00,†,2.00,1.00,1.00,1.60,="0.40",3.00,3.00,0,15.60
A. LINWOOD HOLTON GOV SCH,Virginia,5100033,0,0,†,†,0,0,0,0,†,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
A.B. GRAHAM ACADEMY,Ohio,3901358,0,="0.98",†,155.10,0,0,0,0,0,–,0,0,–,–,†,–,0,0,0,0,0,0,0,0
A.C.G.C. PUBLIC SCHOOL DISTRICT,Minnesota,2700106,61.30,57.83,13.54,14.30,2.33,4.13,25.10,28.57,1.17,128.28,25.71,0,0,1.00,†,1.00,1.50,2.64,2.50,2.68,1.50,2.95,6.10,20.40
A.E. PHILLIPS LABORATORY SCHOOL,Louisiana,2200056,20.14,20.14,16.53,16.53,0,1.50,18.28,="0.36",†,22.47,0,0,0,0,†,0,="0.50",="0.50",0,0,1.00,0,="0.33",0
ABBEVILLE 60,South Carolina,4500690,249.30,248.30,13.02,13.07,6.00,13.00,147.80,82.50,†,381.60,66.80,2.50,6.00,5.00,†,11.00,8.00,1.00,7.50,1.70,12.00,7.00,14.80,0
ABBOTSFORD SCHOOL DISTRICT,Wisconsin,5500030,50.04,50.04,13.79,13.79,2.00,3.00,17.67,27.37,0,80.00,6.40,0,0,1.00,†,1.00,1.00,0,1.00,2.00,2.00,2.43,5.27,8.86
ABBOTT ISD,Texas,4807380,28.29,28.28,10.50,10.50,1.00,="0.87",8.84,15.34,2.24,43.39,1.93,0,–,–,="0.45",="0.45",0,0,2.00,1.72,="0.46",="0.50",0,8.04
ABBOTT UNION FREE SCHOOL DISTRICT,New York,3602300,16.49,17.50,4.85,4.57,0,0,5.24,2.25,9.00,44.11,17.00,0,0,0,†,0,="0.12",0,1.50,3.00,0,="0.25",3.25,2.50
ABBY KELLEY FOSTER CHARTER PUBLIC (DISTRICT),Massachusetts,2500051,101.55,101.55,14.04,14.04,0,5.50,0,96.05,†,153.65,16.00,1.00,0,="0.50",†,="0.50",2.00,1.00,5.00,3.00,7.80,6.00,7.80,2.00
ABC UNIFIED,California,="0601620",896.21,896.21,23.15,23.13,–,–,586.20,310.01,†,1275.61,99.00,–,–,–,†,–,–,–,13.00,–,61.40,–,33.00,173.00
ABERDEEN DISTRICT,Idaho,1600030,53.00,53.00,15.17,15.17,="0.22",2.00,22.94,27.84,†,101.69,14.12,="0.50",1.00,1.00,†,2.00,1.00,1.13,1.00,2.00,3.00,3.19,1.50,19.25
ABERDEEN SCHOOL DIST,Mississippi,2800360,120.94,120.92,12.13,12.13,3.00,6.96,42.24,55.27,13.47,261.97,26.84,2.51,0,2.00,†,2.00,5.84,1.00,5.33,8.35,9.97,13.84,10.47,54.88
ABERDEEN SCHOOL DISTRICT,Washington,5300030,188.97,186.30,18.12,18.38,8.94,11.09,78.22,81.60,9.12,384.43,52.49,0,5.00,5.00,†,10.00,2.00,4.09,3.50,5.49,9.50,14.78,9.20,84.41
ABERDEEN SCHOOL DISTRICT 06-1,South Dakota,4602070,263.97,263.97,14.61,14.61,5.14,14.70,159.77,63.28,21.08,554.42,77.97,2.70,–,–,12.00,12.00,4.00,8.00,11.00,8.40,11.75,10.79,33.53,110.31
ABERNATHY ISD,Texas,4807410,68.85,†,11.75,11.75,2.00,4.12,24.10,33.25,5.38,135.03,23.79,2.00,–,–,3.00,3.00,="0.53",0,2.00,3.00,3.66,6.00,2.00,20.20
ABILENE,Kansas,2003180,113.30,113.30,14.17,14.17,0,5.50,42.80,63.50,1.50,214.50,36.20,1.50,1.00,3.00,†,4.00,1.00,2.70,1.00,4.50,6.00,5.10,7.70,31.50
ABILENE ISD,Texas,4807440,1215.02,1211.01,14.00,13.93,37.00,87.69,485.72,443.67,160.94,2418.72,351.24,17.81,–,–,46.00,46.00,22.00,14.38,11.00,53.30,64.00,94.57,111.30,418.10
ABINGDON CUSD 217,Illinois,1703090,53.36,53.36,14.60,14.28,1.00,4.00,30.00,18.36,0,59.61,–,0,0,0,1.00,1.00,1.25,–,1.00,–,3.00,–,0,–
ABINGTON,Massachusetts,2501650,127.52,127.52,17.17,17.17,3.00,4.00,82.21,38.31,†,214.62,42.50,1.00,1.00,3.00,†,4.00,1.50,="0.40",4.00,4.50,8.40,8.00,12.80,0
ABINGTON HEIGHTS SD,Pennsylvania,4202010,250.50,250.50,13.87,13.87,0,6.00,115.56,119.94,9.00,460.50,50.50,6.50,3.50,6.00,†,9.50,4.00,4.00,5.00,16.00,8.00,18.50,9.00,79.00
ABINGTON SD,Pennsylvania,4202040,520.50,520.50,14.26,14.26,0,24.00,247.10,228.80,20.60,1053.10,104.50,23.00,0,17.00,†,17.00,12.60,5.50,10.00,39.00,16.50,53.50,26.50,224.50
ABOVE AND BEYOND TRAINING ACADEMY,Ohio,3901373,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ABSAROKEE ELEM,Montana,3001710,14.94,14.95,12.32,12.31,–,–,14.94,0,†,20.42,2.78,="0.25",="0.50",0,†,="0.50",="0.64",–,="0.50",–,="0.81",–,0,–
ABSAROKEE H S,Montana,3001740,9.81,9.82,10.40,10.39,–,–,0,9.81,†,13.42,1.64,0,0,="0.50",†,="0.50",="0.28",–,="0.50",–,="0.69",–,0,–
ABSECON PUBLIC SCHOOLS,New Jersey,3400660,69.00,60.00,11.83,13.57,1.00,5.00,49.00,8.00,6.00,112.00,9.00,0,2.00,0,†,2.00,1.00,–,2.00,5.00,2.00,3.00,4.00,15.00
ACADEMIA CESAR CHAVEZ CHARTER SCH.,Minnesota,2700185,22.80,22.80,13.90,13.90,0,3.00,19.80,0,0,46.82,9.70,="0.80",0,0,†,0,0,0,2.07,0,1.00,3.30,3.90,3.25
ACADEMIC AND CAREER EDUCATION ACADEMY,Michigan,2600330,8.12,8.12,15.89,15.76,0,0,0,0,8.12,13.96,="0.56",="0.95",0,1.00,†,1.00,0,0,1.05,0,0,2.28,0,0
ACADEMIC AND PERSONAL EXCELLENCE  INC.,Arizona,="0400654",†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ACADEMIC ARTS HIGH SCHOOL,Minnesota,2700361,4.16,4.16,16.59,16.59,0,0,0,4.16,0,8.48,1.41,0,0,0,†,0,0,0,="0.80",0,0,1.48,="0.63",0
ACADEMIC LEADERSHIP CHARTER SCHOOL,New York,3601001,0,†,†,†,0,0,0,0,0,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
ACADEMIC TRANSITIONAL ACADEMY,Michigan,2600334,6.00,†,†,†,0,0,0,6.00,0,9.00,2.00,0,0,1.00,†,1.00,0,0,0,0,0,0,0,0
ACADEMICS PLUS CHARTER SCHOOL,Arkansas,="0500059",47.00,47.00,11.45,11.45,0,3.00,17.00,27.00,0,77.00,2.00,1.00,1.00,1.00,†,2.00,0,0,1.00,6.00,4.00,2.00,4.00,8.00
ACADEMIE LAFAYETTE,Missouri,2900017,41.30,42.00,13.66,13.43,0,10.44,30.86,0,†,54.30,0,0,0,0,1.00,1.00,2.00,0,="0.01",5.00,2.00,0,1.99,1.00
ACADEMY CHARTER HIGH SCHOOL,New Jersey,3400048,18.00,17.00,10.56,11.18,0,0,2.00,15.00,1.00,24.00,0,1.00,0,1.00,†,1.00,0,–,0,0,2.00,0,2.00,0
ACADEMY CHARTER SCHOOL,New York,3600997,10.00,10.00,16.60,16.60,0,3.00,7.00,0,0,10.00,0,0,0,0,†,0,0,0,0,0,0,0,0,0
ACADEMY CS,Pennsylvania,4200133,27.00,27.00,5.37,5.37,0,0,0,27.00,0,43.00,0,0,0,0,†,0,0,0,1.00,0,1.00,0,14.00,0
ACADEMY DEL SOL  INC.,Arizona,="0400797",0,†,†,†,0,0,0,0,†,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
ACADEMY FOR ACADEMIC EXCELLENCE,Texas,4800093,65.93,65.93,7.54,7.54,0,0,2.87,51.87,11.19,118.50,13.00,1.00,–,–,†,–,0,0,2.00,13.57,20.00,0,3.00,0
ACADEMY FOR BUSINESS AND TECHNOLOGY,Michigan,2600166,44.07,44.07,14.95,14.82,0,3.00,13.35,22.00,5.72,82.64,16.55,3.00,0,1.00,†,1.00,0,0,="0.02",0,1.98,4.04,4.31,7.67
ACADEMY FOR EDUCATION LEARNING THROUGH THE ARTS PCS,District of Columbia,1100050,0,†,†,†,0,0,0,0,0,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
ACADEMY FOR EQUINE SCIENCES CHARTER SCHOOL,New Hampshire,3300038,3.60,†,0,†,0,0,0,3.60,†,4.70,0,–,0,="0.30",†,="0.30",0,0,0,0,="0.30",0,–,="0.50"
ACADEMY FOR MATH ENGINEERING & SCIENCE (AMES),Utah,4900017,21.81,19.31,21.82,24.65,0,0,0,20.31,1.50,31.14,1.56,="0.16",0,2.10,†,2.10,0,0,="0.25",1.59,2.00,1.67,0,0
ACADEMY FOR SCIENCE AND DESIGN CHARTER SCHOOL,New Hampshire,3300040,7.80,†,0,†,0,0,5.50,2.30,†,9.80,0,–,0,0,†,0,0,0,0,0,2.00,0,–,0
ACADEMY FOR URBAN LEADERSHIP,New Jersey,3400741,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ACADEMY ISD,Texas,4807470,81.00,81.00,13.27,13.27,1.00,3.90,27.18,37.28,11.64,164.37,28.23,2.50,–,–,4.00,4.00,1.00,2.00,1.25,3.25,5.00,6.00,1.00,29.14
ACADEMY OF ACCELERATED LEARNING INC,Texas,4800032,29.84,29.84,19.24,19.24,10.59,4.97,13.32,0,="0.96",53.89,0,0,–,–,†,–,="0.96",="0.96",="0.96",="0.96",0,0,3.85,16.36
ACADEMY OF ARIZONA,Arizona,="0400234",0,†,†,†,0,0,0,0,†,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
ACADEMY OF ARTS AND HUMANITIES,Ohio,3900578,5.00,5.00,48.40,48.40,0,="0.45",4.19,="0.36",0,20.00,2.00,1.00,–,–,1.00,1.00,0,0,1.00,1.00,0,0,6.00,3.00
ACADEMY OF ARTS AND SCIENCES,Ohio,3900594,8.00,8.00,15.25,15.25,0,2.26,5.74,0,0,18.60,1.00,0,–,–,†,–,0,0,2.00,2.00,0,0,3.60,2.00
ACADEMY OF BUILDING INDUSTRIES  INC.,Arizona,="0400414",0,†,†,†,0,0,0,0,†,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
ACADEMY OF BUSINESS & TECH,Ohio,3900062,23.00,23.00,8.13,8.13,0,3.00,7.00,2.00,11.00,37.00,0,0,–,–,1.00,1.00,0,0,1.00,5.00,0,0,0,7.00
ACADEMY OF CAREERS AND TECHNOLOGIES CHARTER SCHOOL,Texas,4800199,14.00,14.00,10.36,10.36,0,0,0,13.00,1.00,30.90,0,0,–,–,2.00,2.00,0,0,2.00,4.00,3.00,0,1.00,4.90
ACADEMY OF CLEVELAND,Ohio,3900116,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ACADEMY OF COLUMBUS,Ohio,3900438,13.97,14.00,26.91,26.86,0,1.42,10.13,2.42,0,41.97,9.00,0,–,–,†,–,0,0,1.00,8.00,0,0,6.00,4.00
ACADEMY OF DALLAS,Texas,4800090,38.66,38.66,13.84,13.84,7.96,3.96,17.50,5.31,3.93,66.62,16.00,0,–,–,1.00,1.00,0,0,0,0,3.00,0,6.00,1.96
ACADEMY OF DAYTON,Ohio,3900087,13.01,13.00,8.69,8.69,0,2.07,8.47,1.47,1.00,19.01,0,0,–,–,†,–,0,0,0,3.00,0,0,2.00,1.00
ACADEMY OF DOVER CHARTER SCHOOL,Delaware,1000017,15.00,15.00,17.07,17.07,0,3.00,12.00,0,†,34.00,9.00,1.00,0,0,†,0,0,0,1.00,2.00,0,0,1.00,5.00
ACADEMY OF EXCELLENCE  INC.,Arizona,="0400128",0,†,†,†,0,0,0,0,†,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
ACADEMY OF FLINT,Michigan,2600198,44.00,44.00,12.95,12.82,0,5.00,24.00,14.00,1.00,86.00,7.00,0,0,0,†,0,0,0,0,0,4.00,5.00,10.00,16.00
ACADEMY OF HOPE  THE,Arizona,="0400337",†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ACADEMY OF INKSTER,Michigan,2600247,13.00,13.00,15.62,15.38,0,0,0,12.00,1.00,20.00,0,1.00,0,0,†,0,0,0,0,0,3.00,0,2.00,1.00
ACADEMY OF LATHRUP VILLAGE,Michigan,2600109,23.00,23.00,16.04,15.87,0,1.00,17.00,4.00,1.00,39.00,0,1.00,0,0,†,0,0,0,0,0,3.00,2.00,6.00,4.00
ACADEMY OF LEARNING & LEADERSHIP AGENCY,Wisconsin,5500115,32.80,32.80,12.26,12.26,3.00,2.00,22.80,5.00,0,53.17,4.60,0,0,0,†,0,0,0,0,1.50,3.00,3.00,1.05,7.22
ACADEMY OF MATHEMATICS AND SCIENCE  INC.,Arizona,="0400368",0,†,†,†,0,0,0,0,†,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
ACADEMY OF OAK PARK,Michigan,2600107,57.50,57.50,18.99,18.80,0,2.00,15.00,37.50,3.00,111.50,1.00,0,0,0,1.00,1.00,0,0,0,0,6.00,7.00,14.00,25.00
ACADEMY OF SOUTHFIELD,Michigan,2600108,19.00,19.00,17.53,17.32,0,1.00,13.00,4.00,1.00,31.00,0,1.00,0,0,†,0,0,0,0,0,4.00,2.00,2.00,3.00
ACADEMY OF THE PACIFIC RIM CHARTER PUBLIC (DISTRICT),Massachusetts,2500021,35.05,35.05,13.75,13.75,0,0,0,35.05,†,53.90,0,="0.75",0,1.50,†,1.50,0,1.00,5.00,="0.40",4.00,3.00,3.20,0
ACADEMY OF TUCSON  INC.,Arizona,="0400202",0,†,†,†,0,0,0,0,†,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
ACADEMY OF WARREN,Michigan,2600308,35.00,35.00,24.37,24.11,0,3.00,23.00,8.00,1.00,58.50,2.00,0,0,0,†,0,0,0,0,0,5.00,2.00,7.00,7.50
ACADEMY OF WATERFORD,Michigan,2600290,13.00,13.00,18.23,18.08,0,0,9.00,2.00,2.00,27.00,0,1.00,0,0,†,0,0,0,0,0,3.00,1.00,5.00,4.00
ACADEMY OF WESTLAND,Michigan,2600133,25.00,25.00,17.00,16.84,0,3.00,15.00,6.00,1.00,37.00,2.00,1.00,0,0,†,0,0,0,0,0,2.00,1.00,3.00,3.00
ACADEMY WITH COMMUNITY PARTNERS  INC,Arizona,="0400276",0,†,†,†,0,0,0,0,†,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
ACADEMY SCHOOL DISTRICT NO. 20 IN THE COUNTY OF EL PASO AN,Colorado,="0801920",1376.06,1364.40,16.44,16.58,15.84,82.64,621.62,655.96,†,2757.36,397.92,58.64,13.90,41.18,3.40,58.48,18.97,30.64,31.08,79.33,84.71,176.72,109.30,335.51
ACADIA PARISH,Louisiana,2200030,640.56,629.59,14.66,14.91,19.00,30.94,410.77,179.85,†,1437.27,217.25,22.35,33.74,18.24,†,51.98,20.00,3.00,2.00,40.50,46.00,68.10,38.67,286.86
ACALANES UNION HIGH,California,="0601650",280.40,280.40,20.16,20.10,–,–,17.54,262.86,†,385.50,27.00,–,–,–,†,–,–,–,5.00,–,11.00,–,32.10,30.00
ACCELERATED ELEMENTARY AND SECONDARY SCHOOLS,Arizona,="0400129",13.00,†,18.23,†,0,0,9.00,4.00,†,15.00,0,0,0,0,†,0,0,0,1.00,0,1.00,0,0,0
ACCELERATED INTERMEDIATE ACADEMY,Texas,4800192,26.00,26.00,17.46,17.46,5.00,2.00,11.50,4.50,3.00,33.00,0,0,–,–,†,–,0,0,1.00,2.00,3.00,0,0,1.00
ACCELERATED LEARNING CENTER  INC.,Arizona,="0400121",0,†,†,†,0,0,0,0,†,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
ACCELERATED LEARNING CHARTER SCHOOL  INC.,Arizona,="0400338",0,†,†,†,0,0,0,0,†,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
ACCLAIM CHARTER SCHOOL,Arizona,="0400122",0,†,†,†,0,0,0,0,†,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
ACCOMACK CO PBLC SCHS,Virginia,5100060,333.82,333.83,15.41,15.41,11.00,21.75,129.60,171.47,†,887.30,89.00,47.00,4.00,7.00,†,11.00,10.17,0,5.00,16.70,21.20,25.00,20.00,308.41
ACE ACADEMY (SDA),Michigan,2600943,17.00,17.00,11.12,11.00,0,0,0,14.00,3.00,22.80,0,="0.80",0,1.00,†,1.00,0,0,1.00,0,1.00,2.00,0,0
ACHIEVE CAREER PREPARATORY ACADEMY,Ohio,3901362,11.00,11.00,20.27,20.27,0,0,0,9.00,2.00,23.50,="0.50",="0.25",–,–,†,–,0,0,="0.75",3.00,0,0,3.00,5.00
ACHIEVE CHARTER ACADEMY,Michigan,2600963,24.09,24.09,23.62,23.37,0,3.00,18.00,2.09,1.00,32.67,1.00,0,0,0,†,0,1.00,0,0,0,2.00,2.12,="0.30",2.16
ACHIEVE LANGUAGE ACADEMY,Minnesota,2700118,32.07,32.07,12.82,12.82,0,2.00,23.43,6.64,0,52.52,5.63,1.00,0,0,†,0,0,="0.75",1.07,0,1.00,2.00,6.25,2.75
ACHIEVEMENT ACADEMY CHARTER SCHOOL,New York,3600129,16.99,17.00,13.95,13.94,0,0,7.12,7.87,2.00,16.99,0,0,0,0,†,0,0,0,0,0,0,0,0,0
ACHIEVEMENT FIRST BROWNSVILLE CHARTER SCHOOL,New York,3600969,25.00,25.00,9.92,9.92,="0.50",6.00,18.00,0,="0.50",25.00,0,0,0,0,†,0,0,0,0,0,0,0,0,0
ACHIEVEMENT FIRST BUSHWICK CHARTER SCHOOL,New York,3600166,0,59.00,†,11.14,0,0,0,0,0,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
ACHIEVEMENT FIRST CROWN HEIGHTS CHARTER SCHOOL,New York,3600147,60.98,60.99,13.55,13.54,0,6.60,38.55,11.43,4.40,60.98,0,0,0,0,†,0,0,0,0,0,0,0,0,0
ACHIEVEMENT FIRST EAST NEW YORK CHARTER SCHOOL,New York,3600149,44.99,45.00,11.27,11.27,0,6.00,34.99,0,4.00,44.99,0,0,0,0,†,0,0,0,0,0,0,0,0,0
ACHIEVEMENT FIRST ENDEAVOR CHARTER SCHOOL,New York,3600170,0,26.00,†,†,0,0,0,0,0,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
ACHIEVEMENT FIRST HARTFORD AC,Connecticut,="0900212",36.00,36.00,12.22,12.22,0,4.00,32.00,0,0,64.50,0,1.75,0,0,†,0,0,0,2.00,0,12.00,0,="0.75",12.00
ACHIEVEMENT HOUSE CS,Pennsylvania,4200128,30.45,14.85,8.93,18.32,0,0,0,24.45,6.00,47.95,4.00,0,0,2.00,†,2.00,0,0,6.00,0,0,2.50,2.00,1.00
ACHIEVEMENT PREP ACADEMY PCS,District of Columbia,1100072,12.00,12.00,8.25,8.25,0,0,12.00,0,0,18.00,0,0,0,0,†,0,0,0,0,0,3.00,0,3.00,0
ACHILLE,Oklahoma,4002370,31.10,31.10,12.57,12.57,2.00,2.00,18.80,8.30,†,69.20,9.60,0,0,="0.60",†,="0.60",1.00,0,1.00,2.70,3.00,3.00,2.70,14.50
ACKERMAN CHARTER,California,="0601680",26.00,26.00,19.35,19.35,–,–,26.00,0,†,49.80,12.00,–,–,–,†,–,–,–,1.00,–,1.00,–,="0.80",9.00
ACLD TILLOTSON SCHOOL,Pennsylvania,4200779,0,†,†,†,0,0,0,0,0,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
ACORN MONTESSORI CHARTER SCHOOL,Arizona,="0400320",0,†,†,†,0,0,0,0,†,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
ACTON,Massachusetts,2501680,137.83,137.85,18.97,18.96,3.00,8.56,126.27,0,†,316.47,121.41,2.60,5.00,0,†,5.00,0,7.27,4.03,6.48,6.00,7.65,18.20,0
ACTON PUBLIC SCHOOLS,Maine,2302220,24.60,24.60,16.06,10.41,0,2.00,22.60,0,†,59.00,12.30,0,1.00,0,†,1.00,="0.40",="0.50",2.10,4.40,1.30,1.20,3.30,7.90
ACTON-AGUA DULCE UNIFIED,California,="0600001",80.56,80.56,22.28,22.28,–,–,50.84,29.72,†,130.36,0,–,–,–,†,–,–,–,0,–,5.50,–,7.30,37.00
ACTON-BOXBOROUGH,Massachusetts,2501710,176.89,176.89,16.56,16.56,0,0,60.40,116.49,†,294.97,40.01,3.60,4.00,8.70,†,12.70,2.00,8.49,5.40,8.97,8.20,16.56,12.15,0
ACUSHNET,Massachusetts,2501740,72.70,72.70,13.70,13.70,1.23,6.78,64.69,0,†,119.70,23.00,0,3.00,0,†,3.00,0,0,4.00,4.50,4.00,2.50,4.00,2.00
AD PRIMA CS,Pennsylvania,4200129,15.25,15.25,15.21,15.21,0,4.00,10.00,1.25,0,28.50,3.00,0,0,0,†,0,0,="0.50",1.75,1.00,1.00,2.00,0,4.00
ADA,Oklahoma,4002430,198.40,198.40,13.37,13.37,12.00,12.00,82.20,92.20,†,413.30,51.20,4.00,2.00,5.00,†,7.00,5.00,2.00,1.00,10.00,8.00,13.20,43.40,70.10
ADA EXEMPTED VILLAGE,Ohio,3904518,58.01,54.50,15.48,16.48,0,4.67,26.31,25.56,1.47,101.86,6.98,0,–,–,2.00,2.00,1.00,1.00,2.00,6.20,2.00,2.00,2.50,18.17
ADA-BORUP PUBLIC SCHOOL DISTRICT,Minnesota,2700126,44.84,43.41,12.09,12.44,2.34,2.34,16.51,22.22,1.43,89.49,18.31,="0.30",="0.33",="0.67",†,1.00,0,="0.43",1.66,0,1.47,2.00,6.57,12.91
ADAIR,Oklahoma,4002460,61.70,61.70,16.45,16.45,3.00,3.00,21.70,34.00,†,118.00,8.50,="0.30",="0.90",1.10,†,2.00,1.00,2.00,1.00,4.20,3.00,3.30,7.50,23.50
ADAIR CO. R-I,Missouri,2922980,25.77,26.50,10.09,9.81,1.12,1.34,9.71,13.60,†,41.27,10.00,="0.50",="0.40",="0.60",†,1.00,1.00,0,1.00,0,1.00,0,1.00,0
ADAIR CO. R-II,Missouri,2905790,20.56,22.50,11.72,10.71,0,1.02,8.54,11.00,†,41.56,7.10,0,="0.50",="0.50",†,1.00,="0.50",0,0,3.00,2.00,0,1.40,6.00
ADAIR COUNTY,Kentucky,2100030,174.00,139.00,14.97,18.73,1.00,0,109.00,35.00,29.00,463.70,69.20,4.00,–,–,6.00,6.00,6.00,2.30,4.00,16.10,12.60,28.20,11.70,129.60
ADAIR-CASEY COMM SCHOOL DISTRICT,Iowa,1903090,31.57,31.57,12.01,11.31,1.70,2.80,10.80,16.27,†,58.07,7.00,0,0,1.00,†,1.00,1.00,0,1.00,0,3.00,2.00,0,11.50
ADAMS 1 MAPLETON,Colorado,="0800258",0,†,†,†,0,0,0,0,†,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
ADAMS 12 FIVE STAR SCHOOLS,Colorado,="0806900",2078.31,2072.69,20.18,20.24,11.50,138.34,984.86,943.61,†,4283.38,548.30,132.19,2.13,63.62,2.64,68.39,49.49,31.77,27.00,180.25,116.91,188.12,271.47,591.18
ADAMS 12 NORTHGLENN,Colorado,="0800268",0,†,†,†,0,0,0,0,†,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
ADAMS 128,North Dakota,3801680,6.37,6.37,7.06,7.06,0,1.00,5.37,0,†,12.86,1.93,0,–,–,="0.20",="0.20",="0.50",0,1.00,0,="0.50",0,0,2.36
ADAMS 14 COMMERCE CITY,Colorado,="0800272",0,†,†,†,0,0,0,0,†,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
ADAMS 27J BRIGHTON,Colorado,="0800237",0,†,†,†,0,0,0,0,†,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
ADAMS 50 WESTMINSTER,Colorado,="0800257",0,†,†,†,0,0,0,0,†,–,0,0,0,0,†,0,0,0,0,0,0,0,0,0
