Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Full-Time Equivalent (FTE) Teachers [District] 2009-10,Full-Time Equivalent (FTE) Teachers [Public School] 2009-10,Pupil/Teacher Ratio [District] 2009-10,Pupil/Teacher Ratio [Public School] 2009-10,Prekindergarten Teachers [District] 2009-10,Kindergarten Teachers [District] 2009-10,Elementary Teachers [District] 2009-10,Secondary Teachers [District] 2009-10,Ungraded Teachers [District] 2009-10,Total Staff [District] 2009-10,Instructional Aides [District] 2009-10,Instructional Coordinators [District] 2009-10,Elementary Guidance Counselors [District] 2009-10,Secondary Guidance Counselors [District] 2009-10,Total Guidance Counselors [District] 2009-10,Librarians/Media Specialists [District] 2009-10,Library Media Support Staff [District] 2009-10,LEA Administrators [District] 2009-10,LEA Administrative Support Staff [District] 2009-10,School Administrators [District] 2009-10,School Administrative Support Staff [District] 2009-10,Student Support Services Staff [District] 2009-10,Other Support Services Staff [District] 2009-10
ASBURY PARK SCHOOL DISTRICT,New Jersey,3400930,313.00,308.00,7.60,7.70,3.00,14.00,93.00,120.00,83.00,394.50,–,13.00,–,–,10.00,5.00,–,4.00,–,4.00,–,45.50,–
ASCENDING ROOTS SCHOLASTIC & ATHLETIC PREMISE  INC.,Arizona,="0400362",0,†,†,†,0,0,0,0,†,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ASCENSION PARISH,Louisiana,2200090,1241.00,1241.00,14.70,14.60,12.00,66.00,811.80,351.20,†,2358.70,229.00,27.00,89.60,36.40,126.00,23.00,21.00,3.00,43.00,54.00,79.00,60.00,452.70
ASH CREEK ELEMENTARY DISTRICT,Arizona,="0400870",4.80,4.80,7.10,7.10,0,0,4.80,0,†,13.80,1.40,0,0,0,0,0,="0.30",1.00,1.00,0,1.50,1.70,2.10
ASH FORK JOINT UNIFIED DISTRICT,Arizona,="0400910",20.70,20.70,12.10,12.10,0,1.00,12.80,6.90,†,40.70,7.50,0,0,0,0,0,="0.50",2.00,0,0,="0.50",3.60,5.90
ASH GROVE R-IV,Missouri,2903270,62.40,59.00,14.60,15.40,1.90,3.00,28.30,29.20,0,104.00,10.50,="0.10",1.00,1.00,2.00,2.00,0,2.00,4.00,4.00,–,17.00,0
ASHBURNHAM (NON-OP),Massachusetts,2502010,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ASHBURNHAM-WESTMINSTER,Massachusetts,2502040,172.40,173.00,14.30,14.30,–,16.00,83.50,46.80,26.10,325.80,60.80,3.00,3.00,3.00,6.00,2.50,–,3.00,7.00,8.70,11.00,14.90,36.50
ASHBY (NON-OP),Massachusetts,2502070,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ASHBY PUBLIC SCHOOL DISTRICT,Minnesota,2703300,22.80,21.90,11.90,12.40,="0.90",="0.70",8.10,13.10,0,40.90,4.80,="0.80",0,–,–,0,0,1.50,2.40,1.00,0,1.70,5.90
ASHDOWN SCHOOL DISTRICT,Arkansas,="0502580",144.00,157.00,11.30,10.40,0,9.00,60.00,62.00,13.00,280.00,25.00,4.00,2.00,3.00,5.00,5.00,0,2.00,12.00,7.00,7.00,19.00,50.00
ASHE COUNTY SCHOOLS,North Carolina,3700210,278.50,†,12.20,†,5.00,17.00,137.20,119.30,0,539.00,76.50,7.50,3.00,4.00,7.00,5.00,5.00,11.00,4.00,12.50,36.60,17.40,78.00
ASHE COUNTY TRAC,North Carolina,3700168,–,†,†,†,–,–,–,–,–,0,–,–,–,–,–,–,–,–,–,–,–,–,–
ASHEBORO CITY SCHOOLS,North Carolina,3700240,356.20,†,12.60,†,0,23.00,163.70,162.60,6.90,649.20,119.50,8.50,5.00,6.00,11.00,8.90,–,27.70,4.00,15.70,25.00,24.70,48.00
ASHER,Oklahoma,4003300,19.00,12.00,12.10,19.20,1.00,1.00,12.00,4.00,1.00,35.80,3.70,0,0,1.00,1.00,="0.60",0,1.00,="0.70",1.00,1.00,="0.80",7.00
ASHEVILLE CITY SCHOOLS,North Carolina,3700270,370.90,†,10.20,†,0,21.00,153.40,176.40,20.10,713.40,125.60,18.10,4.80,10.00,14.80,10.00,–,26.30,4.00,19.30,37.80,18.60,68.00
ASHFIELD (NON-OP),Massachusetts,2500004,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ASHFORD SCHOOL DISTRICT,Connecticut,="0900090",38.00,38.00,13.80,13.80,1.50,1.50,34.00,0,1.00,86.90,17.00,2.60,0,0,0,0,="0.50",3.50,1.60,1.50,–,1.20,21.00
ASHLAND,Kansas,2003510,21.90,27.10,10.40,8.10,0,="0.50",8.00,12.40,1.00,25.60,0,0,="0.20",="0.80",1.00,="0.50",0,="0.50",–,1.50,0,="0.20",–
ASHLAND,Massachusetts,2502100,184.90,185.00,14.30,14.30,–,12.00,90.40,51.00,31.50,365.00,57.40,1.00,4.50,3.20,7.70,1.80,–,4.00,11.80,9.80,17.90,27.60,41.10
ASHLAND CITY,Ohio,3904350,213.90,217.50,17.30,17.10,2.00,9.00,82.50,112.00,8.40,411.80,8.00,0,0,0,7.00,3.00,9.00,2.00,17.60,11.00,18.00,24.00,98.30
ASHLAND COUNTY-WEST HOLMES,Ohio,3906204,36.50,36.00,–,†,0,0,0,35.00,1.50,61.90,1.60,0,0,0,1.00,0,0,0,0,4.00,11.00,0,7.80
ASHLAND ELEM,Montana,3000008,9.00,9.10,6.80,6.70,–,–,9.00,0,†,12.60,1.80,0,0,0,0,0,–,0,–,1.00,0,="0.80",–
ASHLAND INDEPENDENT,Kentucky,2100150,208.50,201.00,15.00,15.50,5.00,0,80.00,54.50,69.00,514.70,117.60,3.00,–,–,8.00,9.00,0,3.00,11.70,12.00,28.60,7.20,106.10
ASHLAND SCHOOL DISTRICT,New Hampshire,3301560,19.30,19.30,8.30,8.30,0,1.00,18.30,0,†,34.60,3.40,–,1.00,0,1.00,="0.50",0,0,0,1.20,1.90,–,7.30
ASHLAND SCHOOL DISTRICT,Wisconsin,5500510,163.50,163.40,13.50,13.50,1.00,10.00,64.40,88.10,0,271.60,21.30,3.30,2.00,4.00,6.00,4.00,2.20,3.80,7.00,7.10,8.30,10.20,34.90
ASHLAND SD 5,Oregon,4101560,131.70,158.20,23.10,17.60,0,6.40,70.60,51.00,3.70,277.60,32.50,1.50,4.20,5.00,9.20,3.00,4.70,1.00,9.30,10.30,21.30,2.00,51.10
ASHLAND-GREENWOOD PUBLIC SCHS,Nebraska,3100034,55.00,55.60,15.70,15.60,–,–,29.30,25.70,0,98.80,9.60,1.80,1.00,="0.80",1.80,1.00,2.00,2.00,4.50,2.10,–,1.00,18.00
ASHLEY 9,North Dakota,3802170,17.20,17.30,8.70,8.70,="0.40",="0.50",8.80,7.50,†,28.50,1.00,0,="0.40",="0.50",="0.90",="0.20",0,1.10,="0.40",1.10,0,="0.10",6.50
ASHLEY CCSD 15,Illinois,1704340,10.00,10.00,18.30,18.30,0,0,9.00,1.00,0,12.00,–,0,0,0,0,0,–,0,0,0,–,0,2.00
ASHLEY COMMUNITY SCHOOLS,Michigan,2603480,27.80,21.60,14.20,19.20,0,1.80,10.10,11.90,4.00,84.60,–,="0.30",–,–,1.00,0,1.00,3.80,0,1.00,4.50,10.20,35.00
ASHTABULA AREA CITY,Ohio,3904351,266.70,279.60,16.40,15.70,6.50,17.00,128.00,98.00,17.20,547.90,40.00,–,1.00,6.00,7.00,0,0,2.00,16.40,12.00,21.20,64.10,118.50
ASHTABULA COUNTY ESC,Ohio,3904584,20.00,†,–,†,3.00,0,0,0,17.00,107.50,33.00,0,0,0,0,0,0,2.00,27.00,0,0,14.50,11.00
ASHTABULA COUNTY TECHNICAL AND CAREER CENTER,Ohio,3905081,57.00,64.00,–,†,0,0,0,54.00,3.00,111.60,0,0,0,0,2.00,1.00,0,0,0,2.00,22.60,6.00,21.00
ASHTON-FRANKLIN CENTER CUSD 275,Illinois,1704380,49.90,50.00,12.60,12.60,0,2.00,16.40,31.50,0,60.90,–,0,0,1.00,1.00,1.00,–,0,0,2.00,–,1.00,6.00
ASHWAUBENON SCHOOL DISTRICT,Wisconsin,5500540,218.60,218.50,13.80,13.80,2.50,14.40,80.00,121.70,0,327.70,17.60,3.20,3.20,5.10,8.30,5.00,3.10,4.00,6.50,8.50,12.30,13.70,26.90
ASHWOOD SD 8,Oregon,4101590,–,1.00,–,3.00,0,0,–,0,0,1.30,0,0,0,0,0,0,0,–,0,0,0,0,1.30
ASOTIN-ANATONE SCHOOL DISTRICT,Washington,5300280,36.00,35.90,16.10,16.10,0,2.00,20.20,13.80,0,66.60,8.80,–,0,1.00,1.00,0,0,1.00,1.00,2.50,1.50,="0.50",14.30
ASPEN SCHOOL DISTRICT NO. 1 IN THE COUNTY OF PITKIN AND STA,Colorado,="0802280",133.30,133.30,12.00,12.00,="0.80",10.10,58.30,64.10,†,208.90,18.10,3.10,="0.20",2.90,3.10,–,3.50,4.00,6.50,6.90,9.00,4.40,17.00
ASPERMONT ISD,Texas,4800006,25.90,26.10,9.30,9.30,1.00,1.00,7.30,13.00,3.60,50.80,10.00,0,0,0,0,0,0,="0.50",1.80,1.50,1.80,1.00,8.30
ASPIRE ACADEMY THE,Ohio,3900378,2.00,2.00,26.00,26.00,0,0,0,2.00,0,2.00,0,0,0,0,0,0,0,–,0,0,0,0,0
ASPIRING TO EXCELLENCE AND ACHIEVEMENT,Ohio,3900484,5.00,5.00,12.60,12.60,0,0,0,4.00,1.00,9.00,–,–,0,0,1.00,0,0,0,2.00,0,0,1.00,0
ASSABET VALLEY REGIONAL VOCATIONAL TECHNICAL,Massachusetts,2502110,107.00,107.00,8.60,8.60,–,0,0,99.50,7.50,181.50,4.00,2.00,0,7.00,7.00,1.00,–,2.00,13.50,5.00,11.50,3.00,25.50
ASSUMPTION PARISH,Louisiana,2200120,294.20,290.50,14.30,14.50,8.00,13.00,194.30,78.90,†,630.90,104.00,14.50,10.80,5.70,16.50,1.80,0,3.00,15.00,22.00,15.00,25.90,119.00
ASTORIA CUSD 1,Illinois,1704440,35.00,35.00,11.20,11.20,1.00,2.00,12.00,20.00,0,43.00,–,0,0,–,–,1.00,–,0,0,1.00,–,0,6.00
ASTORIA SD 1,Oregon,4101620,100.90,111.40,20.20,18.30,0,5.10,60.10,33.50,2.20,198.00,23.70,–,3.00,2.50,5.50,1.50,1.00,1.00,10.10,6.30,12.00,="0.80",35.20
ASU AREA CENTER,Arkansas,="0500056",0,0,†,†,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ATASCADERO UNIFIED,California,="0603300",244.10,243.20,20.60,20.70,–,16.00,144.90,80.40,2.80,457.80,41.00,2.50,1.00,5.30,6.30,1.00,–,4.00,11.50,11.90,26.00,–,109.50
ATCHISON CO COMM SCHOOLS,Kansas,2005700,53.40,58.40,13.50,11.80,1.00,3.00,18.10,31.30,0,78.60,6.00,1.00,="0.40",1.60,2.00,1.00,1.20,1.00,1.00,3.00,6.00,3.00,–
ATCHISON PUBLIC SCHOOLS,Kansas,2003540,127.50,143.00,13.00,11.60,2.00,8.00,47.50,70.00,0,187.60,28.70,0,1.50,3.00,4.50,4.00,0,2.00,1.00,7.00,7.40,3.50,2.00
ATHENA-WESTON SD 29RJ,Oregon,4101660,34.10,39.20,18.40,16.00,0,2.00,18.10,13.60,="0.40",62.00,8.40,–,0,–,–,0,0,–,0,1.50,–,–,18.00
ATHENS,Tennessee,4700120,116.00,116.00,15.90,15.90,7.00,11.00,92.00,6.00,0,243.90,35.90,2.00,3.00,0,4.00,5.00,–,1.00,5.00,7.00,7.00,2.00,59.00
ATHENS AREA SCHOOLS,Michigan,2603510,43.40,43.50,18.10,18.00,0,3.50,16.80,19.10,4.00,101.50,14.80,2.00,–,–,–,0,–,3.00,1.30,3.00,4.50,2.00,27.50
ATHENS AREA SD,Pennsylvania,4202670,180.00,178.90,13.40,13.50,0,9.00,70.00,73.00,28.00,207.00,–,1.00,0,4.00,4.00,5.00,–,3.00,–,6.00,–,8.00,–
ATHENS CITY,Ohio,3904352,191.00,190.90,15.30,15.30,4.00,12.00,79.90,82.50,12.60,439.20,37.70,0,0,0,6.00,1.00,9.00,2.00,16.00,9.00,16.00,28.50,123.00
ATHENS CITY,Alabama,="0100120",248.80,200.30,11.50,14.30,0,38.90,123.90,86.00,†,419.80,–,–,–,–,8.00,7.00,0,1.00,15.50,11.00,9.00,13.00,106.50
ATHENS CUSD 213,Illinois,1704470,73.60,74.00,15.00,14.90,2.00,4.60,22.10,44.90,0,82.20,–,0,–,–,–,2.00,–,0,0,4.00,–,0,2.60
ATHENS ISD,Texas,4808870,256.80,256.80,13.40,13.40,5.00,16.50,104.00,103.80,27.50,519.00,66.30,4.00,–,–,7.00,2.10,0,4.00,10.50,15.90,19.80,9.50,123.10
ATHENS SCHOOL DISTRICT,Wisconsin,5500570,42.60,42.60,12.60,12.60,2.00,2.00,14.20,24.40,0,68.80,3.50,="0.20",0,0,1.00,="0.80",1.20,="0.50",2.30,2.00,2.00,3.40,9.30
ATHENS SCHOOL DISTRICT,Vermont,5001860,–,†,†,†,–,–,–,–,–,0,–,–,–,–,–,–,–,–,–,–,–,–,–
ATHENS-MEIGS ESC,Ohio,3900091,32.00,†,–,†,7.50,0,0,0,24.50,187.70,42.60,–,0,0,0,0,0,2.00,59.00,0,0,14.60,37.50
ATHENS/GRAFTON CONTRACT SCHOOL DISTRICT,Vermont,5000026,11.20,11.00,7.80,7.90,0,1.00,7.20,0,3.00,19.50,1.00,–,="0.40",0,="0.40",1.20,0,0,0,1.00,1.00,="0.60",3.10
ATHERTON COMMUNITY SCHOOLS,Michigan,2603540,61.00,61.00,16.80,16.80,0,5.00,21.00,27.00,8.00,120.00,13.70,0,–,–,1.00,1.00,1.70,3.00,1.00,5.00,9.00,5.00,18.60
ATHLOS LEADERSHIP ACADEMY,Minnesota,2700096,23.10,23.10,10.30,10.30,0,1.60,17.20,2.30,2.00,60.00,17.70,4.00,0,0,0,0,0,7.00,–,0,2.60,4.60,1.00
ATHOL (NON-OP),Massachusetts,2502130,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
ATHOL-ROYALSTON,Massachusetts,2502160,151.30,151.00,12.90,12.90,–,7.00,77.30,39.20,27.80,259.50,42.80,2.00,3.10,2.00,5.10,0,–,5.00,4.00,8.10,12.00,8.20,21.00
ATKINS SCHOOL DISTRICT,Arkansas,="0502610",94.00,97.00,11.60,11.20,0,8.00,26.00,50.00,10.00,165.00,15.00,1.00,1.00,2.00,3.00,3.00,–,2.00,2.00,3.00,4.00,9.00,29.00
ATKINSON COUNTY,Georgia,1300090,113.70,113.80,15.70,15.70,8.00,8.60,55.50,41.60,†,253.70,39.00,0,2.00,1.00,3.00,3.00,1.50,4.00,2.50,5.00,7.60,18.20,56.20
ATLANTA C-3,Missouri,2903480,21.90,19.80,10.20,11.30,0,1.00,9.00,11.90,0,39.50,4.30,0,="0.40",="0.40",="0.80",1.00,0,1.00,2.50,1.00,–,4.00,3.00
ATLANTA COMMUNITY SCHOOLS,Michigan,2603570,19.20,19.30,21.10,21.00,0,1.00,6.10,9.30,2.80,56.00,7.00,2.00,–,–,–,–,0,2.80,1.00,1.00,4.00,0,19.00
ATLANTA ISD,Texas,4808880,156.00,155.00,12.50,12.60,3.00,8.00,63.00,60.00,22.00,335.20,38.60,2.00,–,–,5.00,3.40,2.00,2.00,5.50,8.00,11.00,19.00,82.70
ATLANTA PUBLIC SCHOOLS,Georgia,1300120,3688.90,3651.40,13.70,13.90,13.00,288.60,2012.40,1374.90,†,6899.10,765.50,56.00,39.50,76.00,115.50,93.30,0,185.00,175.00,310.80,161.50,187.00,1160.60
ATLANTIC CITY PUBLIC SCHOOLS,New Jersey,3400960,621.00,594.00,11.20,11.80,0,31.00,267.50,242.50,80.00,712.00,–,17.00,–,–,2.00,8.00,–,6.00,–,6.00,–,52.00,–
ATLANTIC COMM SCHOOL DISTRICT,Iowa,1903930,114.10,114.10,13.40,13.30,1.00,9.20,50.40,53.50,†,212.00,32.30,1.50,1.00,3.00,4.00,2.00,3.70,1.80,2.00,5.00,10.50,0,35.10
ATLANTIC COUNTY SPECIAL SERVICES SCHOOL DISTRICT,New Jersey,3400006,73.00,66.00,6.40,7.00,0,0,0,0,73.00,106.20,–,–,–,–,–,–,0,2.00,–,2.00,–,29.20,–
ATLANTIC COUNTY VOCATIONAL SCHOOL DISTRICT,New Jersey,3400990,55.20,55.00,9.80,9.80,0,0,0,55.20,0,66.20,0,1.00,–,–,2.00,1.00,–,2.00,–,2.00,–,3.00,–
ATLANTIC HIGHLANDS SCHOOL DISTRICT,New Jersey,3401020,29.40,29.00,10.00,10.10,0,2.50,18.00,4.40,4.50,36.60,–,1.40,–,–,="0.40",1.00,0,="0.90",–,="0.90",–,2.60,–
ATLANTIS CHARTER (DISTRICT),Massachusetts,2500041,50.00,50.00,13.80,13.80,–,5.00,41.00,0,4.00,114.70,30.00,3.00,–,–,–,1.80,–,1.50,6.80,4.50,5.00,3.60,8.50
ATOKA,Oklahoma,4003360,71.70,70.90,12.40,12.60,2.00,3.00,21.90,39.00,5.80,135.80,14.90,="0.20",="0.50",1.70,2.20,2.80,0,1.00,2.30,4.00,0,10.10,26.60
ATTALA CO SCHOOL DIST,Mississippi,2800510,100.30,100.20,12.80,14.10,5.30,5.10,34.40,46.60,8.90,215.30,29.80,1.90,1.80,2.60,4.40,5.60,0,4.90,3.00,5.00,6.00,7.00,47.40
ATTALLA CITY,Alabama,="0100180",130.20,110.90,13.20,15.50,0,8.70,53.00,68.50,†,237.10,–,–,–,–,5.00,4.80,0,1.00,–,7.20,19.90,6.50,62.50
ATTENTION HOMES INC. - ADMINISTRATION OFFICE,Wyoming,5600013,–,†,†,†,–,–,–,–,–,0,–,–,–,–,–,–,–,–,–,–,–,–,–
ATTICA,Kansas,2003570,18.80,20.50,6.90,6.10,0,1.00,7.00,10.80,0,21.30,0,0,0,="0.20",="0.20",0,0,="0.50",0,="0.50",0,1.30,–
ATTICA CENTRAL SCHOOL DISTRICT,New York,3603420,139.80,133.40,12.00,12.60,0,6.70,55.90,57.00,20.20,242.10,36.00,="0.30",0,–,2.10,2.00,0,2.00,12.00,4.90,2.90,4.10,36.00
ATTICA CONSOLIDATED SCH CORP,Indiana,1800210,62.00,†,15.40,†,1.00,4.00,28.00,29.00,0,131.00,16.00,4.00,1.00,1.00,2.00,1.00,1.00,3.00,0,3.00,5.00,2.00,32.00
ATTLEBORO,Massachusetts,2502190,436.40,438.00,13.80,13.80,–,11.00,222.90,107.10,95.40,718.30,119.20,1.00,0,8.00,8.00,1.00,–,3.00,23.00,15.00,30.50,34.40,46.80
ATWATER ELEMENTARY,California,="0603420",229.80,227.70,20.80,21.00,–,27.00,199.80,0,3.00,422.80,34.00,1.00,–,–,–,1.00,–,3.00,15.00,14.00,21.00,–,104.00
ATWOOD HAMMOND CUSD 39,Illinois,1704590,37.70,38.00,11.60,11.50,1.10,2.00,17.00,17.60,0,42.50,–,="0.80",0,–,–,1.00,–,0,0,2.00,–,0,1.00
ATWOOD HEIGHTS SD 125,Illinois,1704560,42.50,43.00,16.40,16.20,1.00,3.00,23.50,15.00,0,61.50,–,0,0,0,0,4.00,–,0,0,4.00,–,7.00,4.00
AU GRES-SIMS SCHOOL DISTRICT,Michigan,2603600,28.30,28.30,16.70,16.70,0,1.00,10.90,12.70,3.70,61.90,9.00,="0.10",–,–,1.00,="0.60",–,1.90,1.00,="0.10",2.10,2.20,15.60
AUBREY ISD,Texas,4808910,96.90,96.90,15.50,15.50,2.00,6.80,38.70,39.10,10.30,174.50,20.40,="0.80",–,–,3.30,1.00,2.70,2.00,4.50,5.00,11.00,2.90,24.00
AUBURN,Ohio,3905116,38.00,38.00,–,†,0,0,0,37.00,1.00,90.00,7.00,1.00,0,0,3.00,0,0,2.00,12.00,3.00,13.00,3.00,8.00
AUBURN,Massachusetts,2502220,164.60,165.00,14.10,14.10,–,21.60,74.50,44.80,23.70,274.70,53.70,2.50,3.60,3.00,6.60,1.00,–,3.00,9.00,8.00,11.60,11.30,3.40
AUBURN CITY,Alabama,="0100210",430.30,399.70,12.80,13.80,6.00,32.00,226.00,166.30,†,759.80,–,–,–,–,13.00,9.00,8.00,2.00,–,24.00,89.90,16.50,167.10
AUBURN CITY SCHOOL DISTRICT,New York,3603480,380.10,352.90,12.60,13.60,="0.10",29.00,175.20,130.40,45.40,663.60,87.00,3.00,0,–,10.00,6.00,7.50,5.00,32.50,14.50,3.80,20.70,93.50
AUBURN CUSD 10,Illinois,1704620,68.00,68.00,18.60,18.60,3.00,4.00,23.00,38.00,0,77.00,–,0,0,1.00,1.00,2.00,–,0,1.00,4.00,–,1.00,0
AUBURN PUBLIC SCHOOLS,Maine,2302610,316.60,316.30,11.00,11.10,–,–,211.30,102.30,3.00,637.90,115.90,3.00,–,–,13.90,4.60,5.60,5.90,13.30,34.50,25.50,18.40,80.70
AUBURN PUBLIC SCHOOLS,Nebraska,3103330,61.10,62.50,14.10,13.70,–,–,32.10,29.00,0,119.50,14.30,2.10,1.00,1.00,2.00,1.00,1.80,2.00,7.90,3.00,–,="0.90",23.40
AUBURN SCHOOL DISTRICT,New Hampshire,3301590,42.00,42.00,14.30,14.30,0,0,42.00,0,†,91.30,20.00,–,1.60,0,1.60,1.00,="0.50",0,0,2.00,3.00,–,21.20
AUBURN SCHOOL DISTRICT,Washington,5300300,722.60,719.20,20.10,20.20,0,25.40,224.40,392.70,80.10,1348.40,135.80,="0.50",12.10,23.20,35.30,20.00,12.00,13.90,14.00,33.40,58.20,28.10,274.60
AUBURN UNION ELEMENTARY,California,="0603480",114.30,114.30,20.30,20.30,–,12.00,99.80,0,2.50,197.90,14.50,1.00,1.60,0,1.60,0,–,0,4.00,7.00,11.50,–,44.00
AUBURN WASHBURN,Kansas,2003200,396.10,433.90,13.70,12.30,7.50,23.50,185.80,174.30,5.00,587.00,101.40,2.00,6.00,8.00,14.00,9.00,7.30,3.00,–,17.00,10.60,18.60,8.00
AUBURNDALE SCHOOL DISTRICT,Wisconsin,5500600,64.50,64.50,13.70,13.70,2.00,4.00,25.40,33.10,0,100.70,7.30,="0.20",1.00,1.00,2.00,1.00,="0.70",2.50,2.60,3.00,2.50,2.20,12.20
AUCHARD CREEK ELEM,Montana,3002490,2.20,2.20,11.80,11.80,–,–,2.20,0,†,3.00,="0.60",0,0,0,0,="0.20",–,0,–,0,0,0,–
AUDUBON COMM SCHOOL DISTRICT,Iowa,1903960,53.20,53.20,12.50,12.50,1.00,2.80,20.20,29.20,†,97.90,9.90,2.00,1.00,1.00,2.00,1.00,1.80,2.00,2.00,3.00,6.10,0,14.90
AUDUBON PARK,New Jersey,3401080,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
AUDUBON PUBLIC SCHOOLS,New Jersey,3401050,124.00,116.20,12.60,13.50,0,3.50,39.70,61.00,19.80,149.30,–,2.50,–,–,1.00,="0.80",0,2.00,–,2.00,–,17.00,–
AUGLAIZE COUNTY EDUCATIONAL ACADEMY,Ohio,3900490,8.50,8.60,6.60,6.50,0,0,0,8.10,="0.40",8.50,0,0,0,0,0,0,0,0,0,0,0,0,0
AUGLAIZE COUNTY ESC,Ohio,3904593,30.30,0,–,†,6.00,0,0,0,24.30,131.40,57.30,–,–,–,–,0,0,2.00,12.90,0,0,26.40,2.50
AUGLAIZE COUNTY SPECIAL NEEDS SCHOOL,Ohio,3900489,3.50,3.70,10.00,9.50,0,0,1.30,="0.80",1.40,3.50,0,0,0,0,0,0,0,0,0,0,0,0,0
AUGSBURG FAIRVIEW ACADEMY,Minnesota,2700350,7.70,7.70,9.10,9.10,0,0,0,7.70,0,9.80,0,0,0,0,0,0,0,1.00,0,0,="0.80",="0.30",–
AUGUSTA,Kansas,2003630,139.30,157.30,16.80,14.40,1.00,9.00,46.80,82.50,0,194.80,17.00,0,2.00,4.00,6.00,6.00,1.00,3.00,–,10.00,11.00,1.50,–
AUGUSTA CO PBLC SCHS,Virginia,5100300,944.00,838.20,11.80,13.20,12.00,43.00,288.00,601.00,†,2320.00,127.00,90.00,10.00,13.00,57.00,17.00,11.00,6.00,24.00,44.00,62.00,75.00,863.00
AUGUSTA ELEM,Montana,3002430,7.20,7.20,7.40,7.40,–,–,7.20,0,†,11.10,2.80,0,="0.30",0,="0.30",="0.20",–,="0.30",–,="0.30",0,0,–
AUGUSTA H S,Montana,3002450,6.90,6.90,5.50,5.50,–,–,0,6.90,†,9.50,1.70,="0.10",0,="0.10",="0.10",="0.10",–,="0.30",–,="0.30",0,0,–
AUGUSTA INDEPENDENT,Kentucky,2100180,24.00,23.00,12.00,12.50,1.00,0,5.00,14.00,4.00,58.70,7.70,2.00,0,–,1.00,1.00,0,2.30,4.30,4.30,1.00,2.00,9.10
AUGUSTA PUBLIC SCHOOLS,Maine,2302640,230.70,230.70,10.80,12.10,–,–,141.40,89.30,0,478.20,106.30,2.00,–,–,9.80,2.00,7.00,5.00,10.30,13.00,19.00,19.90,53.20
AUGUSTA SCHOOL DISTRICT,Arkansas,="0502670",67.00,71.00,9.90,9.40,4.00,4.00,29.00,26.00,4.00,145.00,20.00,1.00,1.00,1.00,2.00,3.00,0,2.00,5.00,5.00,4.00,13.00,23.00
AUGUSTA SCHOOL DISTRICT,Wisconsin,5500630,47.30,47.30,12.60,12.60,1.00,3.00,15.20,28.10,0,91.40,5.60,="0.40",1.00,1.00,2.00,1.00,2.00,1.00,2.00,1.50,4.00,2.60,22.00
AURELIA COMM SCHOOL DISTRICT,Iowa,1904020,24.50,24.40,12.20,12.20,1.10,1.10,8.90,13.40,†,41.60,3.00,0,0,1.00,1.00,0,1.00,1.00,2.00,3.00,1.00,0,5.10
AURORA ACADEMY,Ohio,3900023,14.00,14.00,11.40,11.40,0,1.00,13.00,0,0,29.40,2.00,1.00,0,0,0,0,0,="0.50",3.30,0,0,4.00,4.60
AURORA CHARTER SCHOOL,Minnesota,2700220,11.30,11.30,20.60,20.60,0,1.00,9.20,1.10,0,30.00,11.90,0,0,0,0,0,0,1.00,0,0,2.30,1.00,2.50
AURORA CITY,Ohio,3904917,166.40,167.50,18.40,18.30,2.50,7.50,72.60,78.00,5.80,313.50,19.90,0,3.60,3.30,6.90,2.20,2.80,2.00,12.50,6.00,11.00,22.30,61.50
AURORA EAST USD 131,Illinois,1704680,767.50,770.00,16.60,16.50,18.00,30.00,350.90,368.60,0,964.90,–,2.00,0,9.00,9.00,6.00,–,1.00,19.60,20.00,–,34.90,104.90
AURORA PUBLIC SCHOOLS,Nebraska,3103360,90.70,91.10,13.70,13.70,–,–,40.80,49.90,0,182.20,28.00,="0.90",1.00,2.00,3.00,1.00,2.00,3.50,6.50,3.70,–,4.60,38.30
AURORA R-VIII,Missouri,2904020,142.80,140.60,14.50,14.70,3.00,13.00,67.00,59.80,0,265.40,45.80,1.50,2.90,2.40,5.30,3.00,0,3.00,18.00,7.00,–,21.00,18.00
AURORA WEST USD 129,Illinois,1704710,647.40,650.00,19.30,19.20,11.50,27.30,279.10,329.50,0,900.20,–,1.00,0,9.00,9.00,17.00,–,0,12.00,20.00,–,62.20,131.60
AURORA JOINT DISTRICT NO. 28 OF THE COUNTIES OF ADAMS AND A,Colorado,="0802340",1832.20,1803.00,18.50,18.80,6.60,132.50,793.10,900.00,†,3953.20,686.00,149.20,24.00,50.50,74.50,9.00,3.20,30.00,197.60,100.30,152.90,201.20,517.10
