Agency Name,State Name [District] Latest available year,Agency ID - NCES Assigned [District] Latest available year,Full-Time Equivalent (FTE) Teachers [District] 2009-10,Full-Time Equivalent (FTE) Teachers [Public School] 2009-10,Pupil/Teacher Ratio [District] 2009-10,Pupil/Teacher Ratio [Public School] 2009-10,Prekindergarten Teachers [District] 2009-10,Kindergarten Teachers [District] 2009-10,Elementary Teachers [District] 2009-10,Secondary Teachers [District] 2009-10,Ungraded Teachers [District] 2009-10,Total Staff [District] 2009-10,Instructional Aides [District] 2009-10,Instructional Coordinators [District] 2009-10,Elementary Guidance Counselors [District] 2009-10,Secondary Guidance Counselors [District] 2009-10,Total Guidance Counselors [District] 2009-10,Librarians/Media Specialists [District] 2009-10,Library Media Support Staff [District] 2009-10,LEA Administrators [District] 2009-10,LEA Administrative Support Staff [District] 2009-10,School Administrators [District] 2009-10,School Administrative Support Staff [District] 2009-10,Student Support Services Staff [District] 2009-10,Other Support Services Staff [District] 2009-10
HAZARD INDEPENDENT,Kentucky,2102670,64.70,†,14.50,13.60,1.00,0,33.70,20.00,10.00,134.50,11.00,4.00,–,–,3.00,1.00,0,4.00,0,3.00,12.00,4.00,27.80
HAZEL CREST SD 152-5,Illinois,1718600,73.00,73.00,15.50,15.50,1.00,5.00,33.00,34.00,0,88.00,–,0,0,0,0,0,–,0,2.00,4.00,–,2.00,7.00
HAZEL PARK SCHOOL DISTRICT OF THE CITY OF,Michigan,2618030,279.10,279.10,17.60,17.60,2.10,4.00,71.80,89.80,111.40,595.60,90.50,13.90,–,–,5.60,4.70,="0.20",8.00,5.00,10.00,33.00,21.80,123.80
HAZELTON-MOFFIT-BRADDOCK 6,North Dakota,3809130,15.50,15.50,8.90,8.90,0,1.00,5.50,9.00,†,27.00,3.00,="0.20",="0.20",="0.10",="0.30",="0.60",0,="0.50",0,="0.80",="0.80",0,5.30
HAZELWOOD,Missouri,2913830,1169.90,1110.90,16.50,17.30,34.50,38.00,561.50,535.90,0,2247.20,33.00,33.80,33.00,23.00,56.00,29.00,0,10.80,201.00,54.70,–,225.00,434.00
HAZEN 3,North Dakota,3800031,38.50,38.60,16.90,16.80,0,1.00,23.70,13.80,†,72.30,1.00,="0.30",1.00,1.00,2.00,1.00,1.80,2.50,0,2.00,6.10,0,17.10
HAZEN SCHOOL DISTRICT,Arkansas,="0507530",53.00,59.00,13.00,11.70,2.00,5.00,20.00,22.00,4.00,133.00,15.00,2.00,2.00,1.00,3.00,2.00,0,1.00,2.00,2.00,6.00,9.00,38.00
HAZEN UHSD #26,Vermont,5008243,38.70,39.00,9.40,9.30,0,0,0,36.70,2.00,71.80,12.10,2.00,0,2.00,2.00,1.00,1.00,0,0,2.00,2.00,2.00,9.00
HAZLEHURST CITY SCHOOL DISTRICT,Mississippi,2801830,106.90,106.80,16.00,16.00,2.00,6.20,47.70,44.40,6.60,230.50,28.60,2.00,3.00,1.00,4.00,1.00,1.00,4.00,6.90,5.00,6.90,10.30,53.90
HAZLET TOWNSHIP PUBLIC SCHOOLS,New Jersey,3413680,266.40,263.50,12.60,12.80,0,4.00,114.30,107.30,40.80,309.70,–,2.00,–,–,3.00,4.00,–,4.00,–,4.00,–,26.30,–
HAZLETON AREA CAREER CENTER,Pennsylvania,4280570,62.00,62.00,14.90,14.90,0,0,0,48.00,14.00,76.00,–,0,0,2.00,2.00,0,0,0,0,4.00,–,8.00,–
HAZLETON AREA SD,Pennsylvania,4211700,534.00,506.80,18.70,19.70,0,26.00,207.00,204.00,97.00,641.00,–,8.00,7.00,6.00,13.00,5.00,–,5.00,–,16.00,–,60.00,–
HEALDSBURG UNIFIED,California,="0600044",115.10,114.10,20.90,21.10,–,7.00,64.00,44.10,0,194.30,16.50,0,0,2.20,2.20,0,–,2.00,7.00,7.00,14.00,–,30.50
HEALDTON,Oklahoma,4014130,37.60,37.60,15.00,15.00,2.00,1.00,13.30,18.30,3.00,70.00,5.00,="0.20",0,="0.70",="0.70",="0.90",3.30,1.00,2.30,2.30,3.00,1.30,12.40
HEALTH CAREERS ACADEMY OF ST. CLAIR COUNTY,Michigan,2600328,4.00,1.00,†,†,0,0,0,0,4.00,6.00,1.00,–,–,–,1.00,–,–,–,–,–,–,–,–
HEALTHY START ACADEMY,North Carolina,3700023,–,†,–,†,0,–,0,0,0,0,0,0,0,0,0,0,–,0,0,0,0,0,0
HEALY PUBLIC SCHOOLS,Kansas,2007080,12.30,13.10,7.60,7.00,0,0,3.80,8.50,0,19.30,3.00,0,="0.20",="0.80",1.00,0,1.00,="0.40",–,="0.60",0,1.00,–
HEARD COUNTY,Georgia,1302790,151.50,151.50,14.50,14.50,7.00,11.00,74.50,59.00,†,301.50,28.00,0,2.00,2.00,4.00,4.00,4.50,5.50,3.00,9.50,12.00,11.50,68.00
HEARNE ISD,Texas,4822830,96.20,96.50,12.10,12.00,8.00,5.70,37.00,40.20,5.30,192.80,32.90,1.00,–,–,3.00,1.00,2.00,3.00,5.60,5.00,7.00,1.00,35.10
HEART ACADEMY,Michigan,2600172,16.00,16.00,14.20,14.20,0,0,0,15.00,1.00,20.00,0,0,–,–,–,0,0,0,0,1.00,2.00,1.00,–
HEART BUTTE K-12 SCHOOLS,Montana,3000099,22.00,22.10,6.90,6.90,–,–,12.60,9.40,†,31.90,5.00,1.00,="0.60",="0.40",1.00,="0.90",–,="0.40",–,1.60,0,0,–
HEART OF GEORGIA RESA,Georgia,1300017,14.60,†,†,†,1.00,0,0,13.60,†,96.90,22.30,6.00,0,0,0,0,0,9.00,5.00,5.00,7.00,23.00,5.00
HEART OF IL LOW INCIDENCE  HILIA,Illinois,1700262,–,†,†,†,0,0,–,0,–,0,–,0,0,0,0,0,–,–,–,0,–,–,–
HEART OF THE EARTH CHARTER,Minnesota,2700168,21.90,19.80,10.60,11.80,0,1.00,10.40,8.90,1.60,34.10,2.00,0,0,0,0,0,0,1.50,1.00,="0.30",0,3.60,3.80
HEARTLAND CAREER CENTER,Indiana,1811930,18.00,†,†,†,0,0,0,18.00,0,29.00,3.00,2.00,0,–,–,0,0,1.00,0,0,2.00,0,3.00
HEARTLAND COMMUNITY SCHOOLS,Nebraska,3100117,32.00,32.40,10.70,10.50,–,–,12.50,19.50,0,62.30,2.50,="0.80",0,="0.50",="0.50",1.00,3.00,1.00,4.00,2.00,–,0,15.50
HEARTLAND REGION,Illinois,1700285,0,†,†,†,0,0,0,0,0,0,–,0,0,0,0,0,–,–,–,0,–,0,–
HEARTLAND TECHNICAL ACADEMY,Illinois,1700068,19.00,19.00,–,0,0,0,0,19.00,0,22.70,–,1.70,0,0,0,0,–,0,0,0,–,2.00,0
HEATH (NON-OP),Massachusetts,2506060,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
HEATH CITY,Ohio,3904411,86.70,90.10,20.20,19.40,0,3.00,43.40,37.20,3.10,181.30,7.50,0,0,0,3.80,2.20,2.20,2.00,10.30,5.00,6.20,19.40,36.00
HEAVENER,Oklahoma,4014160,70.00,57.00,13.90,17.10,0,5.00,28.00,25.00,12.00,143.30,19.00,1.00,2.00,3.00,5.00,2.00,1.00,1.00,6.00,4.00,7.00,7.00,20.30
HEBER ELEMENTARY,California,="0616830",42.40,42.40,20.50,20.50,–,4.00,37.40,0,1.00,68.90,4.50,0,0,0,0,0,–,–,0,3.00,4.50,–,14.50
HEBER SPRINGS SCHOOL DISTRICT,Arkansas,="0507560",122.00,130.00,14.50,13.60,0,11.00,37.00,56.00,18.00,249.00,34.00,2.00,2.00,3.00,5.00,3.00,0,2.00,4.00,6.00,7.00,17.00,47.00
HEBER-OVERGAARD UNIFIED DISTRICT,Arizona,="0400026",35.10,35.10,17.50,17.50,0,2.00,20.20,12.90,†,82.50,11.30,0,0,1.00,1.00,1.00,2.40,1.50,2.00,2.50,4.40,7.00,14.30
HEBRON 13,North Dakota,3809180,19.20,19.30,8.50,8.50,0,="0.60",9.50,9.10,†,31.20,0,0,0,0,0,="0.40",0,2.00,0,1.10,3.00,0,5.50
HEBRON SCHOOL DISTRICT,Connecticut,="0902010",78.60,78.60,15.30,15.30,0,4.50,68.20,0,5.90,176.10,42.00,3.50,0,0,0,2.00,0,1.00,6.00,2.50,3.00,2.00,35.50
HECTOR SCHOOL DISTRICT,Arkansas,="0507620",57.00,54.00,12.20,12.90,0,6.00,21.00,27.00,3.00,108.00,12.00,2.00,1.00,1.00,2.00,2.00,–,1.00,4.00,2.00,2.00,5.00,19.00
HEDLEY ISD,Texas,4822850,24.70,24.70,7.20,7.20,="0.70",1.00,8.30,13.00,1.70,38.90,2.70,0,0,0,0,1.00,0,1.00,1.00,1.00,2.00,0,5.50
HEIR FORCE COMMUNITY SCHOOL,Ohio,3900341,15.00,7.00,10.90,23.40,0,2.00,0,5.00,8.00,21.10,1.00,0,0,0,0,0,0,0,4.60,0,0,0,="0.50"
HELENA ELEM,Montana,3000005,281.70,281.60,17.60,17.60,–,–,281.70,0,†,399.30,53.60,4.60,4.50,0,4.50,11.50,–,1.60,–,15.10,0,26.70,–
HELENA FLATS ELEM,Montana,3013800,13.20,13.20,17.60,17.60,–,–,13.20,0,†,15.30,0,0,="0.40",0,="0.40",="0.60",–,="0.40",–,="0.60",0,="0.10",–
HELENA H S,Montana,3013830,183.30,183.70,16.70,16.70,–,–,0,183.30,†,231.10,13.80,7.00,0,8.00,8.00,4.60,–,="0.90",–,9.70,0,3.80,–
HELENA/ W.HELENA SCHOOL DIST.,Arkansas,="0507680",212.00,213.00,14.00,14.00,0,18.00,87.00,88.00,19.00,469.00,83.00,7.00,3.00,3.00,6.00,6.00,5.00,11.00,18.00,14.00,18.00,35.00,54.00
HELENDALE ELEMENTARY,California,="0616860",32.00,32.00,20.10,20.10,–,3.00,27.00,0,2.00,58.50,7.50,0,0,0,0,0,–,1.00,4.00,2.00,2.50,0,9.50
HELIX SD 1,Oregon,4106270,11.00,0,15.50,†,0,0,6.50,4.50,0,16.30,–,0,–,0,–,0,1.00,="0.50",1.00,–,1.00,1.80,–
HELLENIC CLASSICAL CHARTER SCHOOL,New York,3600146,6.00,8.00,30.30,22.80,0,2.00,4.00,0,0,6.00,0,0,–,–,–,0,0,0,0,0,0,0,0
HELLGATE ELEM,Montana,3013860,68.30,68.30,17.60,17.60,–,–,68.30,0,†,104.80,19.00,1.00,3.00,0,3.00,3.00,–,1.00,–,3.70,0,5.80,–
HELMETTA,New Jersey,3407020,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†,†
HELMVILLE ELEM,Montana,3013890,3.00,3.00,10.30,10.30,–,–,3.00,0,†,4.30,1.10,0,="0.10",0,="0.10",="0.10",–,0,–,0,0,0,–
HEMET UNIFIED,California,="0616920",1051.50,1023.60,22.40,23.00,–,76.00,685.80,273.20,16.50,1806.90,129.50,11.60,12.00,14.60,26.60,7.20,–,8.00,101.00,54.50,101.00,–,316.00
HEMINGFORD PUBLIC SCHOOLS,Nebraska,3171730,33.20,33.20,10.20,10.20,–,–,16.40,16.80,0,67.10,6.00,0,="0.30",="0.60",="0.90",="0.90",1.00,2.00,4.00,2.00,–,2.10,15.00
HEMLOCK PUBLIC SCHOOL DISTRICT,Michigan,2618180,79.80,78.90,18.30,18.50,0,3.60,23.50,36.20,16.50,167.70,21.90,5.00,–,–,1.60,1.60,–,2.20,1.20,3.80,7.20,1.40,42.00
HEMPFIELD  SD,Pennsylvania,4211790,442.00,438.70,16.60,16.50,0,12.00,181.00,201.00,48.00,534.00,–,14.00,3.00,13.00,16.00,10.00,–,5.00,–,15.00,–,32.00,–
HEMPFIELD AREA SD,Pennsylvania,4211760,411.00,410.10,16.00,15.80,0,19.00,156.00,193.00,43.00,499.00,–,1.00,6.00,11.00,17.00,10.00,–,3.00,–,17.00,–,40.00,–
HEMPHILL ISD,Texas,4822890,78.50,78.50,12.40,12.40,2.30,5.10,27.10,38.20,5.80,155.00,18.70,0,–,–,1.30,1.00,1.00,1.90,6.00,2.20,6.70,7.00,30.70
HEMPSTEAD ISD,Texas,4822920,107.40,107.40,13.00,13.00,1.10,7.20,39.60,39.90,19.60,213.90,30.00,4.00,0,–,1.00,1.00,0,2.00,5.00,8.00,9.00,4.00,42.50
HEMPSTEAD UNION FREE SCHOOL DISTRICT,New York,3614130,456.00,461.30,13.90,13.70,9.00,34.00,206.60,152.50,53.90,1149.60,164.00,9.00,0,–,9.00,8.00,0,15.10,69.00,21.30,14.00,46.20,338.00
HENDERSON COUNTY,Tennessee,4701800,232.00,226.00,15.90,16.30,3.00,17.00,130.00,79.00,3.00,479.00,59.00,4.00,4.00,4.00,10.00,9.00,–,2.00,4.00,14.00,19.00,6.00,120.00
HENDERSON COUNTY,Kentucky,2102710,431.40,411.00,16.00,16.80,6.00,27.00,203.90,99.50,95.00,1043.30,77.50,17.00,–,–,20.30,12.00,10.70,6.00,24.00,29.00,117.10,37.00,261.30
HENDERSON COUNTY SCHOOLS,North Carolina,3702100,950.60,†,13.70,†,1.00,63.00,413.20,470.90,2.50,1758.60,290.20,22.20,12.70,18.00,30.70,15.00,1.00,7.80,4.00,37.00,124.20,43.90,232.00
HENDERSON ISD,Texas,4822970,261.60,261.60,13.70,13.70,4.00,16.40,104.00,104.30,32.90,588.50,104.40,3.00,–,–,10.00,5.00,0,3.00,11.60,15.00,20.90,12.80,141.20
HENDERSON/MERCER/WARREN ROE,Illinois,1700187,2.00,†,26.50,†,0,0,0,2.00,0,2.90,–,="0.90",0,0,0,0,–,0,0,0,–,0,0
